Banned,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bunnelby,Aegislash,Talonflame,Volcanion,Greninja,Scrafty,Azumarill,Gardevoir,Roserade,Pyroar,Vivillon,Delphox,Charizard,Delcatty,Diggersby,Pangoro,Chesnaught,Simisear,Butterfree,Frogadier,Quilladin,Chespin
Zigzagoon,Smeargle,Gyarados,Pelipper,Aerodactyl,Illumise,Crobat,Venusaur,Minun,Lucario,Crawdaunt,Raichu,Dodrio,Hippowdon,Plusle,Volbeat,Fletchinder,Simipour,Golduck,Linoone,Braixen,Fennekin
Pidgey,Garchomp,Salamence,Zapdos,Sylveon,Mienshao,Diancie,Starmie,Jumpluff,Alakazam,Gallade,Florges,Doublade,Tyrantrum,Vileplume,Dragalge,Simisage,Sharpedo,Kadabra,Pidgeot,Fletchling,Froakie
Scatterbug,Tyranitar,Amoonguss,Gengar,Hariyama,Goodra,Sableye,Krookodile,Snorlax,Kingdra,Ledian,Bellossom,Scolipede,Sigilyph,Kecleon,Steelix,Masquerain,Gogoat,Furret,Pikachu,Beedrill,Pidgeotto
Spewpa,M-Charizard Y,Dragonite,Weavile,Chimecho,Ludicolo,Trevenant,Hawlucha,Haxorus,Heliolisk,Blastoise,Shedinja,Toxicroak,Nidoqueen,Cloyster,Aurorus,Vespiquen,Swanna,Slurpuff,Seaking,Bibarel,Pansage
Caterpie,M-Gengar,M-Venusaur,Conkeldurr,Bisharp,Mamoswine,Chandelure,Reuniclus,Hoopa,Vaporeon,Machamp,Aromatisse,Rhydon,Exeggutor,Umbreon,Leafeon,Furfrou,Exploud,Golbat,Wartortle,Dunsparce,Pansear
Metapod,M-Kangaskhan,M-Gyarados,M-Aerodactyl,Torkoal,Hydreigon,Electrode,Flygon,Marowak,Mr. Mime,Kangaskhan,Medicham,Granbull,Lapras,Heracross,Glaceon,Scraggy,Grumpig,Zangoose,Swalot,Wormadam,Panpour
Weedle,M-Tyranitar,M-Lucario,Rotom-H,Gothitelle,M-Charizard X,Scizor,Politoed,Golurk,Escavalier,Ferrothorn,Rhyperior,Espeon,Drapion,Slowbro,Yanmega,Ninjask,Malamar,Solrock,Audino,Mothim,Corphish
Kakuna,M-Gardevoir,Rotom-W,Meowst.M,M-Garchomp,Rotom-Fan,M-Blastoise,M-Pinsir,Staraptor,Victreebel,Probopass,Jolteon,Gigalith,Liepard,Slowking,Sawk,Drifblim,Tentacruel,Swellow,Fraxure,Farfetch'D,Goldeen
Pichu,M-Mawile,,,,,M-Scizor,M-Manectric,Moltres,Klefki,Articuno,Nidoking,Murkrow,Durant,Mantine,Carbink,Absol,Wailord,Barbaracle,Relicanth,Riolu,Carvanha
Bidoof,,,,,,Rotom-F,Rotom-M,Floatzel,Noivern,Magnezone,Tauros,Banette,Huntail,Pinsir,Lunatone,Houndoom,Clawitzer,Krokorok,Floette,Litleo
Azurill,,,,,,,,M-Heracross,M-Aggron,Beartic,Pachirisu,Rotom,Zoroark,Mightyena,Dugtrio,Crustle,Duosion,Swoobat,Machoke,Roselia,Psyduck
Marill,,,,,,,,,M-Absol,M-Alakazam,Druddigon,Vanilluxe,Ursaring,Sneasel,Accelgor,Luvdisc,Gorebyss,Mawile,Emolga,Ledyba,Flabebe
Burmy,,,,,,,,,,M-Medicham,M-Abomasnow,Scyther,M-Ampharos,Skarmory,Haunter,Qwilfish,Quagsire,Yanma,Dedenne,Skitty,Bulbasaur
Surskit,,,,,,,,,,Meowst.F,,Basc.R,Gourg.S,Ditto,Avalugg,Manectric,Arbok,Miltank,Wobbuffet,Ivysaur,Charmander
Magikarp,,,,,,,,,,,,,,M-Houndoom,Gliscor,Flareon,Honchkrow,Ampharos,Chatot,Charmeleon,Skiddo
Ralts,,,,,,,,,,,,,,M-Banette,Wigglytuff,Throh,Magneton,Alomomola,Clamperl,Squirtle,Pancham
Kirlia,,,,,,,,,,,,,,Gourg.Xl,Sudowoodo,Skuntank,Aggron,Golem,Octillery,Gloom,Doduo
